video_name,frame_id,xmin,ymin,xmax,ymax,velocity,customer_id,x_floorplan,y_floorplan,new_customer_id,camera,x_floorplan_new,y_floorplan_new,time,customer_id_global
20220314_1.04_5_6_blurred,27,263.8654593,350.478023,407.580553,619.8562739,0.21,1542,-363.1381212,-48.42528163,561542,1.04,1118.867172,1498.088066,16:30:32,23762966
20220314_1.04_5_6_blurred,28,148.6197676,397.5926595,338.409698,626.0610899,1.628,1541,-363.5290106,-48.41806714,561541,1.04,1104.587187,1498.313385,16:30:32,23762965
20220314_1.04_5_6_blurred,28,288.8491476,418.2240606,380.2494755,585.2946658,0.927,1542,-363.1164586,-48.35290532,561542,1.04,1119.658551,1500.348484,16:30:32,23762966
20220314_1.04_5_6_blurred,29,143.5433472,379.280844,336.2120151,618.6299833,1.596,1541,-363.5360779,-48.34668173,561541,1.04,1104.329003,1500.542855,16:30:32,23762965
20220314_1.04_5_6_blurred,30,147.0060582,361.6982838,323.1889589,586.6662001,2.042,1541,-363.5308946,-48.22866093,561541,1.04,1104.518361,1504.228817,16:30:32,23762965
20220314_1.04_5_6_blurred,31,147.5924443,350.226076,316.1858759,570.8713312,2.047,1541,-363.5291938,-48.12448013,561541,1.04,1104.580493,1507.482535,16:30:32,23762965
20220314_1.04_5_6_blurred,31,284.8405794,438.5418281,355.123743,565.9252492,1.101,1542,-363.1236877,-48.27169877,561542,1.04,1119.394457,1502.884682,16:30:32,23762966
20220314_1.03_12_16_blurred,401,653.3483863,231.7201196,733.5769739,331.1577491,0.024,1192,-359.6008556,-48.17682831,12161192,1.03,1226.697862,1430.829441,16:30:33,12161192
20220314_1.03_12_16_blurred,402,653.419603,231.7355975,733.6838758,331.2002422,0.038,1192,-359.6018207,-48.17822844,12161192,1.03,1226.666389,1430.794174,16:30:33,12161192
20220314_1.03_12_16_blurred,402,175.349543,339.6016579,230.5278589,409.5549715,0.932,1188,-363.5164723,-46.06877994,12161188,1.03,1099.006515,1483.927449,16:30:33,12161188
20220314_1.03_12_16_blurred,403,653.4530297,232.0069133,733.5686803,331.2888093,0.019,1192,-359.6026726,-48.18106573,12161192,1.03,1226.63861,1430.722708,16:30:33,12161192
20220314_1.03_12_16_blurred,403,180.5361905,337.9879484,231.4176837,403.107852,0.931,1188,-363.485759,-45.96891011,12161188,1.03,1100.0081,1486.442993,16:30:33,12161188
20220314_1.03_12_16_blurred,404,653.4733495,232.0981038,733.5677221,331.2966769,0.038,1192,-359.6032779,-48.18247748,12161192,1.03,1226.618869,1430.687149,16:30:33,12161192
20220314_1.03_12_16_blurred,404,184.5700948,336.4202771,234.0305865,400.6027366,0.949,1188,-363.4503707,-45.89050982,12161188,1.03,1101.162138,1488.417758,16:30:33,12161188
20220314_1.03_12_16_blurred,405,653.4748549,231.9346469,733.4992142,331.0185416,0.017,1192,-359.6037634,-48.18389313,12161192,1.03,1226.603036,1430.651491,16:30:33,12161192
20220314_1.04_5_6_blurred,33,143.0789423,332.88961,297.5694808,539.4848037,2.526,1541,-363.5266472,-47.96539176,561541,1.04,1104.673526,1512.451097,16:30:33,23762965
20220314_1.04_5_6_blurred,33,269.2426146,391.3965589,344.1928534,524.6325844,2.169,1542,-363.1090486,-48.11105449,561542,1.04,1119.929254,1507.901837,16:30:33,23762966
20220314_1.04_5_6_blurred,34,137.9775835,325.552961,287.9806713,531.5873874,2.514,1541,-363.5325481,-47.84511587,561541,1.04,1104.457953,1516.207488,16:30:33,23762965
